id,movie_title,imdb_rating,year_released,budget,box_office,distribution_company_id,language
1,The Shawshank Redemption,9.2,1994,25.00,73.30,1,English
2,The Godfather,9.2,1972,7.20,291.00,2,English
3,The Dark Knight,9.0,2008,185.00,"1,006.00",3,English
4,The Godfather Part II,9.0,1974,13.00,93.00,2,"English, Sicilian"
5,12 Angry Men,9.0,1957,0.34,2.00,4,English
6,Schindler's List,8.9,1993,22.00,322.20,5,"English, German, Yiddish"
7,The Lord of the Rings: The Return of the King,8.9,2003,94.00,"1,146.00",6,English
8,Pulp Fiction,8.8,1994,8.50,213.90,7,English
9,The Lord of the Rings: The Fellowship of the Ring,8.8,2001,93.00,898.20,6,English
10,"The Good, the Bad and the Ugly",8.8,1966,1.20,38.90,8,"English, Italian, Spanish"
